citing_id,cited_id
2019-0012,2018-0515
2019-0012,2018-0540
2019-0012,2018-0547
2019-0012,2018-0572
2019-0012,2019-0075
2019-0012,2019-0115
2019-0012,2019-0281
2019-0012,2019-0405
2019-0013,1967-0000
2019-0013,1999-0020
2019-0013,2004-0027
2019-0013,2004-0033
2019-0013,2005-0032
2019-0013,2007-0051
2019-0013,2007-0057
2019-0013,2007-0065
2019-0013,2007-0075
2019-0013,2007-0085
2019-0013,2008-0064
2019-0013,2009-0076
2019-0013,2010-0058
2019-0013,2012-0019
2019-0013,2012-0127
2019-0013,2012-0138
2019-0013,2012-0176
2019-0013,2012-0177
2019-0013,2012-0180
2019-0013,2013-0123
2019-0013,2013-0149
2019-0013,2015-0258
2019-0013,2016-0239
2019-0013,2016-0282
2019-0013,2016-0294
2019-0013,2016-0318
2019-0013,2016-0356
2019-0013,2017-0240
2019-0013,2017-0248
2019-0013,2017-0362
2019-0013,2018-0063
2019-0013,2018-0454
2019-0013,2018-0546
2019-0014,2018-0022
2019-0014,2018-0255
2019-0014,2019-0058
2019-0015,2011-0125
2019-0015,2017-0281
2019-0015,2018-0104
2019-0016,1989-0000
2019-0016,1995-0009
2019-0016,2008-0058
2019-0016,2008-0078
2019-0016,2014-0042
2019-0016,2015-0113
2019-0016,2017-0316
2019-0017,2005-0059
2019-0017,2015-0005
2019-0017,2015-0200
2019-0017,2016-0238
2019-0017,2017-0022
2019-0017,2017-0090
2019-0017,2017-0106
2019-0017,2017-0235
2019-0017,2017-0302
2019-0017,2017-0376
2019-0018,1998-0001
2019-0018,2001-0014
2019-0018,2008-0050
2019-0018,2010-0010
2019-0018,2011-0047
2019-0018,2012-0092
2019-0018,2017-0011
2019-0018,2017-0138
2019-0018,2017-0162
2019-0018,2017-0244
2019-0018,2017-0293
2019-0018,2018-0020
2019-0018,2018-0022
2019-0019,2001-0039
2019-0019,2012-0109
2019-0019,2014-0199
2019-0019,2018-0022
2019-0019,2018-0314
2019-0019,2018-0373
2019-0020,1969-0000
2019-0020,1971-0001
2019-0020,1981-0005
2019-0020,1982-0006
2019-0020,1992-0015
2019-0020,1993-0013
2019-0020,1995-0025
2019-0020,1998-0025
2019-0020,1998-0036
2019-0020,2000-0009
2019-0020,2003-0015
2019-0020,2004-0075
2019-0020,2011-0035
2019-0020,2012-0169
2019-0020,2012-0183
2019-0020,2013-0160
2019-0020,2014-0031
2019-0020,2015-0225
2019-0020,2016-0315
2019-0020,2016-0352
2019-0020,2017-0046
2019-0020,2017-0056
2019-0020,2017-0246
2019-0020,2018-0020
2019-0020,2018-0167
2019-0022,1973-0000
2019-0022,1981-0000
2019-0022,1989-0002
2019-0022,1991-0011
2019-0022,1997-0013
2019-0022,1998-0030
2019-0022,1998-0032
2019-0022,2001-0050
2019-0022,2004-0076
2019-0022,2006-0030
2019-0022,2012-0112
2019-0022,2013-0013
2019-0022,2013-0053
2019-0022,2014-0047
2019-0022,2014-0068
2019-0022,2014-0089
2019-0022,2015-0010
2019-0022,2015-0023
2019-0022,2015-0081
2019-0022,2015-0124
2019-0022,2016-0002
2019-0022,2016-0006
2019-0022,2016-0014
2019-0022,2017-0028
2019-0022,2017-0045
2019-0022,2017-0073
2019-0022,2017-0211
2019-0022,2017-0219
2019-0022,2017-0259
2019-0022,2017-0387
2019-0022,2018-0051
2019-0022,2018-0057
2019-0022,2018-0063
2019-0022,2018-0127
2019-0022,2018-0416
2019-0023,2013-0130
2019-0023,2018-0282
2019-0024,2008-0051
2019-0024,2010-0051
2019-0024,2011-0070
2019-0024,2012-0172
2019-0024,2013-0182
2019-0024,2014-0095
2019-0024,2014-0110
2019-0024,2015-0220
2019-0024,2015-0271
2019-0024,2016-0286
2019-0024,2019-0357
2019-0025,2003-0047
2019-0025,2004-0036
2019-0025,2008-0024
2019-0025,2009-0068
2019-0025,2010-0095
2019-0025,2011-0027
2019-0025,2011-0051
2019-0025,2012-0013
2019-0025,2013-0023
2019-0025,2013-0039
2019-0025,2014-0003
2019-0025,2014-0078
2019-0025,2015-0101
2019-0025,2015-0111
2019-0025,2016-0085
2019-0025,2016-0200
2019-0025,2017-0017
2019-0025,2017-0045
2019-0025,2018-0022
2019-0025,2018-0072
2019-0025,2019-0414
2019-0027,2017-0012
2019-0027,2017-0061
2019-0027,2018-0010
2019-0027,2018-0059
2019-0027,2019-0019
2019-0028,2001-0033
2019-0028,2004-0070
2019-0028,2007-0009
2019-0028,2012-0114
2019-0028,2016-0025
2019-0028,2016-0234
2019-0028,2016-0279
2019-0028,2017-0071
2019-0028,2017-0222
2019-0028,2018-0063
2019-0028,2018-0564
2019-0028,2019-0450
2019-0028,2019-0472
2019-0029,1989-0000
2019-0029,2000-0005
2019-0029,2000-0033
2019-0029,2001-0031
2019-0029,2002-0052
2019-0029,2003-0002
2019-0029,2003-0014
2019-0029,2004-0028
2019-0029,2009-0013
2019-0029,2012-0038
2019-0029,2014-0207
2019-0029,2015-0204
2019-0029,2016-0216
2019-0029,2016-0287
2019-0029,2016-0354
2019-0029,2017-0076
2019-0029,2017-0163
2019-0029,2017-0230
2019-0029,2017-0288
2019-0029,2017-0340
2019-0029,2017-0381
2019-0029,2018-0063
2019-0029,2018-0442
2019-0029,2018-0462
2019-0029,2019-0108
2019-0029,2019-0156
2019-0030,1991-0007
2019-0030,2008-0017
2019-0030,2014-0199
2019-0030,2017-0038
2019-0030,2017-0078
2019-0030,2017-0247
2019-0030,2018-0177
2019-0031,2018-0261
2019-0031,2018-0327
2019-0032,2016-0108
2019-0032,2017-0071
2019-0032,2018-0022
2019-0032,2018-0054
2019-0032,2018-0063
2019-0032,2018-0177
2019-0032,2018-0305
2019-0032,2018-0314
2019-0032,2018-0331
2019-0032,2019-0075
2019-0032,2019-0183
2019-0032,2019-0298
2019-0034,2007-0017
2019-0034,2009-0070
2019-0034,2009-0108
2019-0034,2014-0212
2019-0034,2016-0139
2019-0034,2017-0406
2019-0034,2017-0422
2019-0034,2018-0338
